"","V1"
"1",-0.0491346158993398
"2",-0.0631346146635628
"3",-0.0251993098800933
"4",-0.03372838420203
"5",-0.0289386871987233
"6",-0.040213953495577
"7",-0.041389974486078
"8",-0.0557586383751991
"9",-0.0596655629334777
"10",-0.103665728862967
"11",-0.0712757324352667
"12",-0.0903922852619227
"13",-0.0741954847654691
"14",-0.0890214238302897
"15",-0.0719195753118751
"16",-0.0783667895830894
"17",-0.0715076824838151
"18",-0.0735168414757196
"19",-0.0939624261827066
"20",-0.0666329887876541
"21",-0.131227263300197
"22",-0.0616134479675475
"23",-0.0361115358934781
"24",-0.0885607126342098
"25",-0.0976760756017249
"26",-0.0961321780785364
"27",-0.0795598935539375
"28",-0.0451020704592028
"29",-0.0820910156415119
"30",-0.0918531771866947
"31",-0.154453229726153
"32",-0.116435186724412
"33",-0.124692600552721
"34",-0.184114603883448
"35",-0.124141024196994
"36",-0.111797691164871
"37",-0.138540899029257
"38",-0.145040353664881
"39",-0.110256110733522
"40",-0.116526250679198
"41",-0.0641281391663152
"42",-0.111400354923097
"43",-0.15295861011758
"44",-0.104976085276388
"45",-0.150010121004655
"46",-0.171669122109414
"47",-0.159043776144807
"48",-0.182875404717189
"49",-0.144116569638846
"50",-0.138109101526938
"51",-0.220128743697701
"52",-0.121058981244469
"53",-0.144071670084852
"54",-0.182950387710589
"55",-0.154638223923439
"56",-0.173142906947958
"57",-0.16065539644813
"58",-0.14407947796079
"59",-0.207738931075761
"60",-0.174043609479173
"61",-0.16431090665265
"62",-0.186667660711537
"63",-0.224328025070943
"64",-0.200117490812983
"65",-0.181232168644687
"66",-0.183099876047693
"67",-0.153336329734465
"68",-0.204752829220777
"69",-0.17012964201237
"70",-0.135765286310501
"71",-0.152886498360532
"72",-0.151943752593296
"73",-0.108280279967284
"74",-0.158413006874008
"75",-0.124095984974327
"76",-0.159517167135222
"77",-0.14886614579803
"78",-0.158561880713775
"79",-0.186465614703394
"80",-0.178998340770692
"81",-0.186646290162625
"82",-0.173830030412134
"83",-0.156003088977994
"84",-0.152564379485104
"85",-0.157179511531803
"86",-0.152497496984536
"87",-0.188270173497806
"88",-0.151223304744466
"89",-0.159043384946074
"90",-0.183739049130373
"91",-0.267837492461692
"92",-0.281133239621923
"93",-0.367537980426123
"94",-0.37650220373543
"95",-0.561668407432934
"96",-0.56906809563876
"97",-0.368335559130012
"98",-0.44880712082684
"99",-0.549027526921229
"100",-0.591217663441896
"101",-0.348850635326975
"102",-0.426711715709469
"103",-0.422497301772746
"104",-0.338832976344898
"105",-0.385754465433852
"106",-0.400209557019821
"107",-0.386927698884512
"108",-0.364977637601953
"109",-0.400450373605033
"110",-0.376946409432925
"111",-0.349143075340657
"112",-0.408028119386348
"113",-0.350896619849797
"114",-0.391560324664499
"115",-0.426399295322775
"116",-0.271750836889978
"117",-0.46669523958464
"118",-0.356472741136771
"119",-0.255530224976767
"120",-0.318388241262288
"121",-0.290257641321597
"122",-0.292159097401436
"123",-0.353405146787871
"124",-0.244070455128586
"125",-0.34601668298504
"126",-0.255090707600782
"127",-0.214054268252045
"128",-0.207022447884936
"129",-0.214681767117885
"130",-0.227786698833
"131",-0.182834949454265
"132",-0.202112516052287
"133",-0.225052969568106
"134",-0.166793398232123
"135",-0.135236093008606
"136",-0.141008095890034
"137",-0.0389655413270381
"138",-0.179085425205101
"139",-0.15766976211075
"140",-0.131623717765899
"141",-0.191238440090329
"142",-0.111255813529593
"143",-0.0930272932263686
"144",-0.173421310616304
"145",-0.175972152992517
"146",-0.12968232316071
"147",-0.158478158249593
"148",-0.122427148231229
"149",-0.169168594057937
"150",-0.160006721672959
"151",-0.103357653772798
"152",-0.139937753700288
"153",-0.17036859079265
"154",-0.0749485686091756
"155",-0.145942597622617
"156",-0.108976257147346
"157",-0.0856355764446163
"158",-0.130735681215046
"159",-0.114069189252636
"160",-0.0953714646694048
"161",-0.138258266854008
"162",-0.119928701570036
"163",-0.122073056591572
"164",-0.133943795826716
"165",-0.0942352318300307
"166",-0.097567456139729
"167",-0.0923674806239061
"168",-0.0766973674152534
"169",-0.0813308916122124
"170",-0.0924438569427656
"171",-0.0981187436210165
"172",-0.0636299326734546
"173",-0.115548639601163
"174",-0.0444504741222557
"175",-0.0982114640289212
"176",-0.187173495459129
"177",-0.134433576997411
"178",-0.204192360488104
"179",-0.151269375220748
"180",-0.218658369220308
