"","V1"
"1",-0.0604085172261659
"2",-0.064446054959296
"3",-0.0417272373663517
"4",-0.0465558261143221
"5",-0.0435207939798859
"6",-0.0334283292418624
"7",-0.0477180671122302
"8",-0.0409114116282625
"9",-0.0477391554005664
"10",-0.0903525073354183
"11",-0.0618048383430513
"12",-0.0820737084323588
"13",-0.0598306320985342
"14",-0.0838792574672796
"15",-0.0661903828503922
"16",-0.0665449962314324
"17",-0.0565046917770331
"18",-0.0651502004647837
"19",-0.067796272266322
"20",-0.0699223976140249
"21",-0.0733730912334241
"22",-0.0701865837387057
"23",-0.0466330558771876
"24",-0.0738637902123216
"25",-0.052998939331831
"26",-0.0816613088605788
"27",-0.0743968674659903
"28",-0.0556300324271542
"29",-0.0526377701876181
"30",-0.0684068319095415
"31",-0.119496227781
"32",-0.109145818208864
"33",-0.109266715581538
"34",-0.117765921247981
"35",-0.0479336795979541
"36",-0.174886307401715
"37",-0.138184260040325
"38",-0.110869179664515
"39",-0.099846900909778
"40",-0.107579616204338
"41",-0.105304777628003
"42",-0.106332931066061
"43",-0.124083539662505
"44",-0.0901642538161587
"45",-0.12170342386803
"46",-0.136680459813567
"47",-0.139017093182834
"48",-0.159871873636107
"49",-0.13030805011501
"50",-0.151528497818304
"51",-0.187580827929722
"52",-0.147583797464776
"53",-0.165018369964467
"54",-0.189759701141097
"55",-0.169582775426373
"56",-0.195222396277802
"57",-0.131818551261733
"58",-0.135797800847396
"59",-0.199558363604487
"60",-0.178175857590639
"61",-0.16346857781144
"62",-0.166418624384704
"63",-0.17727628400793
"64",-0.21291494358728
"65",-0.150659935848175
"66",-0.241018627628465
"67",-0.185677827883442
"68",-0.213500120466711
"69",-0.168056122941918
"70",-0.1661689471813
"71",-0.165277128340717
"72",-0.171016635070554
"73",-0.132559047124287
"74",-0.162556318477019
"75",-0.12867919193272
"76",-0.162100777973121
"77",-0.146931371408322
"78",-0.153895059366556
"79",-0.164238064158527
"80",-0.179157927996473
"81",-0.192502423088811
"82",-0.15854959599901
"83",-0.186455673020326
"84",-0.175158701252095
"85",-0.161402526376506
"86",-0.180827251508562
"87",-0.176348605358205
"88",-0.180017238340586
"89",-0.202172197923929
"90",-0.201404910882062
"91",-0.205443529246662
"92",-0.329429496226406
"93",-0.357518555322885
"94",-0.442682044807516
"95",-0.446476130987249
"96",-0.57766300042139
"97",-0.365885607176726
"98",-0.440905649680899
"99",-0.477063086287104
"100",-0.553578567061886
"101",-0.434201789589243
"102",-0.510713009868749
"103",-0.483051463096496
"104",-0.455598884165082
"105",-0.470115392276861
"106",-0.419254939302542
"107",-0.452552545154857
"108",-0.453508127059926
"109",-0.443328622253559
"110",-0.419981855906002
"111",-0.371738354043846
"112",-0.403278713924587
"113",-0.426689967818528
"114",-0.410481004575186
"115",-0.439667890542513
"116",-0.3475421598082
"117",-0.44451318633675
"118",-0.401152568314924
"119",-0.388041792627883
"120",-0.38642229805418
"121",-0.369207972640805
"122",-0.3616197000507
"123",-0.354558465296472
"124",-0.292483941155325
"125",-0.344336386015595
"126",-0.295170250929439
"127",-0.239193966283333
"128",-0.216756798076615
"129",-0.196930224079034
"130",-0.203793078142484
"131",-0.175742770819839
"132",-0.198194123636893
"133",-0.207754542802507
"134",-0.149659658962012
"135",-0.141451629431604
"136",-0.137035742959398
"137",-0.0853782803412394
"138",-0.124659999461328
"139",-0.124807502279095
"140",-0.120525852550953
"141",-0.13937285170425
"142",-0.105999130006079
"143",-0.0940438773140054
"144",-0.12685812026388
"145",-0.135346997923658
"146",-0.096598478018997
"147",-0.11025130154786
"148",-0.108619225127667
"149",-0.141797420154781
"150",-0.10086413986335
"151",-0.0995741402630279
"152",-0.113418287528266
"153",-0.127096392113958
"154",-0.0993331244947916
"155",-0.109119234716249
"156",-0.0957832568712157
"157",-0.0678760380009486
"158",-0.0826327268644997
"159",-0.0500933903047255
"160",-0.059609916976738
"161",-0.10000338162993
"162",-0.0888160238824689
"163",-0.0918225397751124
"164",-0.0848708078129235
"165",-0.0645293650538092
"166",-0.075454589462502
"167",-0.0596907274909169
"168",-0.0590975269644957
"169",-0.0548705318597022
"170",-0.0540305908926076
"171",-0.0503372939147594
"172",-0.0361120941886203
"173",-0.0548301731595839
"174",-0.0301319745330366
"175",-0.0670545727716955
"176",-0.137798029048489
"177",-0.094022346163752
"178",-0.15779075207552
"179",-0.131431859165548
"180",-0.162447318870285
"181",-0.124530112355926
"182",-0.125709028271557
"183",-0.163493447293914
"184",-0.181614774875738
"185",-0.11961525284448
"186",-0.145999568209595
"187",-0.115850775450536
"188",-0.12265281330052
"189",-0.118367569703483
"190",-0.160416091124625
"191",-0.143581550000494
"192",-0.139912529543473
"193",-0.117663158894332
"194",-0.133351721356816
"195",-0.128411466133108
"196",-0.136403116970764
"197",-0.147199096201734
"198",-0.140878039972782
"199",-0.149601993512493
"200",-0.147272023384434
