"","V1"
"1",-0.0435967487159988
"2",-0.0512574773318776
"3",-0.0332602828063841
"4",-0.0365160258211941
"5",-0.0368116253173146
"6",-0.03589546507663
"7",-0.0410381113214667
"8",-0.0421151418410793
"9",-0.0459511521897105
"10",-0.0838180463576141
"11",-0.0588798768577943
"12",-0.0730338718324265
"13",-0.0563520800239948
"14",-0.0676352286198586
"15",-0.0564896159958024
"16",-0.0541443599483887
"17",-0.0501861091291643
"18",-0.0515641770356443
"19",-0.0559710184469346
"20",-0.0491514031337655
"21",-0.0643346142726269
"22",-0.0517071514736585
"23",-0.0342990605221425
"24",-0.057965056395852
"25",-0.0489385033480429
"26",-0.0613119979477685
"27",-0.0625445250457894
"28",-0.0519695075152866
"29",-0.0609446628849004
"30",-0.0706690034425852
"31",-0.114876855202101
"32",-0.106803991406152
"33",-0.114330023776272
"34",-0.113401573319581
"35",-0.078467300087936
"36",-0.105589967193459
"37",-0.124097692630326
"38",-0.103930819651588
"39",-0.0753516205658714
"40",-0.0698068651663949
"41",-0.062970133939114
"42",-0.0809493214322681
"43",-0.104770273999476
"44",-0.0792063363869171
"45",-0.104120776338081
"46",-0.1159936552043
"47",-0.110469214001506
"48",-0.120716685430834
"49",-0.103265455406392
"50",-0.100017812434825
"51",-0.123215802813272
"52",-0.0881482126591172
"53",-0.112783380804289
"54",-0.128480996264666
"55",-0.119606868732589
"56",-0.139807775370296
"57",-0.117704312723137
"58",-0.118556277109088
"59",-0.16023524767617
"60",-0.143096229584303
"61",-0.131788420121618
"62",-0.141989555532015
"63",-0.147217180019485
"64",-0.155670173017027
"65",-0.123857764493115
"66",-0.156414153548852
"67",-0.124803536794861
"68",-0.137287930038109
"69",-0.108579589542053
"70",-0.106270422744785
"71",-0.106761900832777
"72",-0.115827659284226
"73",-0.0975850280884687
"74",-0.119124813852055
"75",-0.100818154172974
"76",-0.126133168552307
"77",-0.118461974314775
"78",-0.12234265549388
"79",-0.124779449331272
"80",-0.136616745782986
"81",-0.140025065571667
"82",-0.113962307180223
"83",-0.122497988682638
"84",-0.122199901019223
"85",-0.115165494989788
"86",-0.119893596438591
"87",-0.118179143543418
"88",-0.115962913229063
"89",-0.127526227989711
"90",-0.137981871347432
"91",-0.145702912096786
"92",-0.193783553075059
"93",-0.263060202126232
"94",-0.352270766626835
"95",-0.402542618965232
"96",-0.48030195575589
"97",-0.320310874464444
"98",-0.339543865924412
"99",-0.403406122032492
"100",-0.437409895463147
"101",-0.316408987058897
"102",-0.364946885367174
"103",-0.345226591531147
"104",-0.295168263121425
"105",-0.299827403565611
"106",-0.295385801886374
"107",-0.300948608733455
"108",-0.302894668858205
"109",-0.31208915108151
"110",-0.298945237151024
"111",-0.282176496042591
"112",-0.296704673119353
"113",-0.301098787894189
"114",-0.302628794051769
"115",-0.322445904301897
"116",-0.252670471894231
"117",-0.331533997456147
"118",-0.280797583842826
"119",-0.24845121969291
"120",-0.255219505075302
"121",-0.235551261498854
"122",-0.242214768974117
"123",-0.25225211161021
"124",-0.206574677031582
"125",-0.241626211328242
"126",-0.20892396483313
"127",-0.176602950640404
"128",-0.170782440591477
"129",-0.16556292321849
"130",-0.165664736150281
"131",-0.145826987780032
"132",-0.159386133031862
"133",-0.171326112077566
"134",-0.134939028892867
"135",-0.120655435417223
"136",-0.126800699608038
"137",-0.0859780212266261
"138",-0.128508632776667
"139",-0.126104617613005
"140",-0.116337055543467
"141",-0.136445445127404
"142",-0.108555953370073
"143",-0.0993434210143361
"144",-0.130287579646665
"145",-0.142114494227264
"146",-0.108681796896893
"147",-0.11315455403953
"148",-0.104228149729639
"149",-0.144346261060781
"150",-0.118638167963609
"151",-0.102418320889581
"152",-0.108886895641644
"153",-0.128056228696763
"154",-0.0880884316556612
"155",-0.107658060547532
"156",-0.0953762753847861
"157",-0.0788578366100699
"158",-0.097997886754887
"159",-0.0794705080234971
"160",-0.0737578559127969
"161",-0.118196317518829
"162",-0.105047630597168
"163",-0.111102689807627
"164",-0.10511419279596
"165",-0.0842034541517676
"166",-0.0846598203235179
"167",-0.0756333463582152
"168",-0.0709613687208661
"169",-0.0692487379857421
"170",-0.0726407081310461
"171",-0.0742504694056009
"172",-0.0592062139438441
"173",-0.0807643995407453
"174",-0.0535469353850132
"175",-0.0876842495527332
"176",-0.173913837937491
"177",-0.130091943453796
"178",-0.182051000870762
"179",-0.143629885214227
"180",-0.174843085183907
"181",-0.126521591047548
"182",-0.119229842639901
"183",-0.143103321493597
"184",-0.160922022367997
"185",-0.124943501531858
"186",-0.133485722282305
"187",-0.112576983384443
"188",-0.112506695495885
"189",-0.111154003339936
"190",-0.136069883907003
"191",-0.129661616651249
"192",-0.120980786357421
"193",-0.105908927424721
"194",-0.119795130214838
"195",-0.11385801309979
"196",-0.121199185291705
"197",-0.123196568474853
"198",-0.113863713598498
"199",-0.111591302523024
"200",-0.107524243335322
"201",-0.121894596438912
"202",-0.101437668003433
"203",-0.127206723268949
"204",-0.108898351169008
"205",-0.115935826250237
"206",-0.0995031220608749
"207",-0.0963887140621158
"208",-0.0812517892003827
"209",-0.0747030474702479
"210",-0.0793879625617643
"211",-0.0838671652691923
"212",-0.0753249245866129
"213",-0.0860223575197268
"214",-0.0881824063375145
"215",-0.0752570441195408
"216",-0.0640684863659043
"217",-0.0720751467881996
"218",-0.0848129368280675
"219",-0.0874642879093979
"220",-0.0868205867386058
"221",-0.110669223955658
"222",-0.085530889303337
"223",-0.0738443805914583
"224",-0.0816842586566059
"225",-0.0617501167096143
"226",-0.0642773071971854
"227",-0.0639953801001851
"228",-0.0837806338035802
"229",-0.079506327133392
"230",-0.0795017457388791
"231",-0.0728452687211296
"232",-0.0850755336361791
"233",-0.097221391934188
"234",-0.0999023884255682
"235",-0.101047910257265
"236",-0.0775332726825178
"237",-0.0728969782618766
"238",-0.0978843552759526
"239",-0.0845422054456397
"240",-0.121942621332714
"241",-0.165730164922108
"242",-0.170570224407912
"243",-0.209232891596798
"244",-0.182111200050046
"245",-0.174264807806511
"246",-0.195024452814685
"247",-0.16626770466132
"248",-0.220796874410809
"249",-0.221005856635931
"250",-0.19860764003337
"251",-0.149235826632267
"252",-0.158011400290644
"253",-0.120947517833389
"254",-0.155364185709548
"255",-0.15746031076687
"256",-0.166383263122714
"257",-0.182618643142384
"258",-0.148233875341893
"259",-0.144034100625071
"260",-0.132567614876614
"261",-0.120745378450785
"262",-0.135248371988033
"263",-0.126684927560403
"264",-0.12188350016831
"265",-0.110994690259519
"266",-0.107590431530942
"267",-0.108224046631847
"268",-0.126750460385505
"269",-0.110744789813683
"270",-0.107364898782545
"271",-0.106434559672263
"272",-0.103279529288612
"273",-0.0870689509204162
"274",-0.0894890528416014
"275",-0.0896413441963067
"276",-0.101135452784744
"277",-0.113591904859491
"278",-0.100809537108648
"279",-0.100073650597404
"280",-0.112035753729155
"281",-0.115618750541529
"282",-0.151645646096684
"283",-0.127829825475071
"284",-0.156792483098979
"285",-0.129713669551637
"286",-0.134540590812603
"287",-0.118315203294545
"288",-0.108453719366291
"289",-0.111860326063332
"290",-0.112964045856459
"291",-0.112786662424773
"292",-0.112771298584219
"293",-0.104519989017664
"294",-0.107542025459004
"295",-0.0940252927957751
"296",-0.100371780008787
"297",-0.107295471263104
"298",-0.0979708656644319
"299",-0.0953406628557437
"300",-0.0976141976402729
"301",-0.0985313420400498
"302",-0.0924654566613257
"303",-0.0928775828408038
"304",-0.0897562750215442
"305",-0.0984703942640705
"306",-0.0908615474165755
"307",-0.10216512846116
"308",-0.0969941494378002
"309",-0.0907472959231658
"310",-0.0943204578441257
"311",-0.0929657004559756
"312",-0.0995052539645065
"313",-0.0962330110168473
"314",-0.11384178692924
