"","V1"
"1",-0.0402618253120804
"2",-0.0484191079560392
"3",-0.0295484366039844
"4",-0.0353744337100922
"5",-0.0375392784523402
"6",-0.0294564335561729
"7",-0.0405514170688704
"8",-0.0356987603613934
"9",-0.0431305141200127
"10",-0.0901780836264782
"11",-0.0562646023713624
"12",-0.0741531530762472
"13",-0.0479980456021768
"14",-0.0690690365092235
"15",-0.0526787007124231
"16",-0.0509009080930672
"17",-0.0428413115341131
"18",-0.0471510088021331
"19",-0.0481571718769206
"20",-0.0446946157139117
"21",-0.0486591352367362
"22",-0.0452358893506183
"23",-0.0276987332649774
"24",-0.0507079711354583
"25",-0.0310123268894316
"26",-0.0493408821486491
"27",-0.0476111216783044
"28",-0.0383352781766669
"29",-0.0480232545191658
"30",-0.0637324191065048
"31",-0.116307977659283
"32",-0.109947747529973
"33",-0.107751432144984
"34",-0.114071419595132
"35",-0.0840035777341394
"36",-0.0894472840358914
"37",-0.124765994349682
"38",-0.102166884717257
"39",-0.068055639241114
"40",-0.0642514902172374
"41",-0.0520950571914705
"42",-0.0692399704986016
"43",-0.105624218765008
"44",-0.0729554658689558
"45",-0.102308180993827
"46",-0.122654084565994
"47",-0.105983870635351
"48",-0.123494267812018
"49",-0.104348747663713
"50",-0.104987913259633
"51",-0.128930166490968
"52",-0.0911308769502503
"53",-0.115157659494877
"54",-0.144816023461393
"55",-0.137098809869028
"56",-0.174326460628286
"57",-0.155919642546417
"58",-0.13275724188873
"59",-0.191160247886756
"60",-0.163407029235022
"61",-0.157515475921698
"62",-0.175356728417766
"63",-0.186621525317732
"64",-0.18507359322784
"65",-0.155458498003848
"66",-0.174725167196954
"67",-0.143003352682317
"68",-0.167767047844374
"69",-0.124668202047034
"70",-0.125023824729987
"71",-0.117777069527705
"72",-0.135845286269171
"73",-0.116069848177053
"74",-0.151335876318345
"75",-0.121225430357449
"76",-0.155034072255589
"77",-0.134224901134067
"78",-0.147852750969192
"79",-0.149177170687307
"80",-0.155769780792089
"81",-0.163953661428188
"82",-0.134853627602756
"83",-0.138315451455656
"84",-0.141895766110609
"85",-0.132573918077822
"86",-0.144176521375099
"87",-0.14572163979269
"88",-0.147346397931786
"89",-0.165828699599692
"90",-0.164661871802652
"91",-0.186951284574311
"92",-0.212142887103875
"93",-0.315144336051737
"94",-0.448108926654428
"95",-0.423832578799471
"96",-0.540047727647612
"97",-0.381608779630412
"98",-0.417068379731231
"99",-0.474602347211775
"100",-0.515185903770744
"101",-0.378056982343593
"102",-0.461385756658224
"103",-0.433016536090613
"104",-0.392936351801746
"105",-0.393396525538381
"106",-0.365560505520911
"107",-0.397128707855164
"108",-0.399862861117337
"109",-0.394592609615514
"110",-0.374679491350143
"111",-0.339410259805588
"112",-0.370288226145419
"113",-0.391277184155635
"114",-0.380565596312309
"115",-0.406902770983985
"116",-0.31493198435493
"117",-0.403367533475508
"118",-0.35567130470178
"119",-0.337557074947439
"120",-0.339628658604013
"121",-0.319533871178483
"122",-0.322302993350628
"123",-0.314726820820796
"124",-0.260812204200187
"125",-0.312280663734319
"126",-0.271194183075059
"127",-0.223893041422027
"128",-0.209700627171164
"129",-0.195988678438646
"130",-0.19969983404154
"131",-0.17648330926586
"132",-0.196948835614206
"133",-0.206304488937957
"134",-0.153147419219814
"135",-0.143995973513393
"136",-0.148427771127806
"137",-0.104884427206058
"138",-0.139601865892826
"139",-0.138107710912763
"140",-0.132883550961513
"141",-0.150982044478879
"142",-0.121668701014867
"143",-0.112209267092127
"144",-0.143311965518469
"145",-0.155405635413706
"146",-0.115009789586611
"147",-0.122066900687018
"148",-0.119712823304933
"149",-0.162009711649661
"150",-0.119541752896033
"151",-0.113699188729484
"152",-0.123470019041938
"153",-0.139013260290649
"154",-0.106516594685205
"155",-0.119489125518887
"156",-0.106444936920258
"157",-0.0811988577715049
"158",-0.100769190225329
"159",-0.0736526692298017
"160",-0.077310598880405
"161",-0.126026993487948
"162",-0.111545882736268
"163",-0.115403186220284
"164",-0.107538083818346
"165",-0.087197465524352
"166",-0.0932614023118553
"167",-0.0760402804569455
"168",-0.0763117637362061
"169",-0.0734244918717027
"170",-0.074355900456451
"171",-0.0722665867035161
"172",-0.059714590877172
"173",-0.0788894760703893
"174",-0.0532914667287506
"175",-0.0928778836875232
"176",-0.181954485469302
"177",-0.126699768723331
"178",-0.191436880682256
"179",-0.15460007862219
"180",-0.186481408897147
"181",-0.1396694939313
"182",-0.130990246574587
"183",-0.167346739199278
"184",-0.187248819351033
"185",-0.13159540450957
"186",-0.153497668600981
"187",-0.124025241736228
"188",-0.130104768960496
"189",-0.122536197448301
"190",-0.163781679694156
"191",-0.149075858338265
"192",-0.142435359438019
"193",-0.119848391893135
"194",-0.135151518212909
"195",-0.129837746127382
"196",-0.136158648373588
"197",-0.145276295551669
"198",-0.136064205231676
"199",-0.137863520005574
"200",-0.134608351369877
"201",-0.143612148624987
"202",-0.120599144794561
"203",-0.157345360294236
"204",-0.130569381340894
"205",-0.141503996776615
"206",-0.112603787988646
"207",-0.108003442955945
"208",-0.091376581972884
"209",-0.0849193111594404
"210",-0.0901425561758147
"211",-0.0898479470056167
"212",-0.0824200993681837
"213",-0.098381012498178
"214",-0.101026272750544
"215",-0.0761829277409798
"216",-0.0677250844404136
"217",-0.075322801029318
"218",-0.0963728675323246
"219",-0.0927076759281622
"220",-0.0982924971854897
"221",-0.123454699899375
"222",-0.08510620746393
"223",-0.0785793811080871
"224",-0.0872275635122703
"225",-0.0718724582286158
"226",-0.0685086766010423
"227",-0.0675718648120081
"228",-0.0943278065085947
"229",-0.0883936009031315
"230",-0.0890411316419942
"231",-0.0839242736303044
"232",-0.10214320585239
"233",-0.111755156330708
"234",-0.111572090653266
"235",-0.113144904394132
"236",-0.0760171424528393
"237",-0.0852015832845757
"238",-0.114449389257626
"239",-0.092923852890739
"240",-0.139335858025841
"241",-0.188076812855894
"242",-0.194091240575232
"243",-0.238002783235542
"244",-0.191239692653211
"245",-0.197718360928257
"246",-0.22220330668902
"247",-0.178652168179744
"248",-0.256826109248336
"249",-0.243402075641811
"250",-0.215088321427592
"251",-0.161910771346045
"252",-0.179716871254045
"253",-0.136368666537954
"254",-0.179965975632538
"255",-0.17350939279934
"256",-0.196569502321644
"257",-0.213283484288485
"258",-0.155709224018995
"259",-0.169134316462978
"260",-0.169399033389415
"261",-0.142504866343942
"262",-0.165153544081089
"263",-0.151851319312144
"264",-0.14971245895484
"265",-0.136125866880536
"266",-0.140534570456703
"267",-0.134275272164338
"268",-0.152856052341542
"269",-0.135870914999928
"270",-0.134008982067947
"271",-0.13197456504005
"272",-0.130126812471288
"273",-0.107237993009772
"274",-0.114043968074138
"275",-0.11289812338308
"276",-0.127233333398025
"277",-0.146131860224897
"278",-0.129033927236457
"279",-0.125372758957412
"280",-0.147701854286598
"281",-0.148416597191979
"282",-0.187587963818045
"283",-0.156308675218003
"284",-0.196221117674733
"285",-0.156441147634265
"286",-0.165847802656437
"287",-0.154516801304398
"288",-0.140095726491307
"289",-0.151279899913153
"290",-0.149125898585379
"291",-0.145571394340869
"292",-0.142354438988398
"293",-0.137623168687443
"294",-0.134455231844768
"295",-0.12536426782864
"296",-0.133231000528208
"297",-0.139749323867738
"298",-0.123737918435681
"299",-0.121714674622158
"300",-0.123360971305906
"301",-0.128347536526081
"302",-0.114820196052904
"303",-0.120881558764596
"304",-0.107139267960489
"305",-0.117442145880583
"306",-0.109573118632643
"307",-0.125896218405479
"308",-0.121902497161509
"309",-0.103850459130224
"310",-0.116323450208215
"311",-0.117415215389114
"312",-0.12259738862218
"313",-0.115173081197192
"314",-0.136992262325578
