"","V1"
"1",-0.0513051101602174
"2",-0.0543015584450537
"3",-0.0374893349699489
"4",-0.0448108781594275
"5",-0.0473194886837348
"6",-0.0267428323910669
"7",-0.0470963411589779
"8",-0.0300773286831957
"9",-0.0407535083573341
"10",-0.0918573109676857
"11",-0.0539081748034726
"12",-0.0761104788662124
"13",-0.041290778866305
"14",-0.0745091424586676
"15",-0.0537690185276221
"16",-0.0536954744858937
"17",-0.0411087380277184
"18",-0.052449086925165
"19",-0.0489903755498756
"20",-0.0579412976759875
"21",-0.0384248989918868
"22",-0.055713135540263
"23",-0.04261432494967
"24",-0.0593694279455014
"25",-0.0287422033133555
"26",-0.05917331663643
"27",-0.0496312217266195
"28",-0.0375777041472537
"29",-0.034792792854417
"30",-0.0566046990099353
"31",-0.108251864829899
"32",-0.106733751007903
"33",-0.0961424761066643
"34",-0.117331790752113
"35",-0.0647410022997086
"36",-0.120042825364559
"37",-0.120036855146063
"38",-0.0991570329085309
"39",-0.0788018826786939
"40",-0.087463199102791
"41",-0.077081403212229
"42",-0.0736877005208486
"43",-0.11050820536056
"44",-0.0739892677215578
"45",-0.104151707266373
"46",-0.136512497248797
"47",-0.114887076046539
"48",-0.138166437448064
"49",-0.11177567584275
"50",-0.128877393423655
"51",-0.154974402045686
"52",-0.121930530569417
"53",-0.131351649708578
"54",-0.172682258565678
"55",-0.160636705702752
"56",-0.206751701143758
"57",-0.176680193745891
"58",-0.131221539962385
"59",-0.199886016444955
"60",-0.165378770150481
"61",-0.164990860220983
"62",-0.181402236154101
"63",-0.198520398241576
"64",-0.213363138195706
"65",-0.17143921853987
"66",-0.204615556802653
"67",-0.166038279038603
"68",-0.204549237379944
"69",-0.150565002130498
"70",-0.15472324321001
"71",-0.139288752120689
"72",-0.157630481429245
"73",-0.125682238038177
"74",-0.169295683263688
"75",-0.128315025095877
"76",-0.171016617304594
"77",-0.137480423673824
"78",-0.16034950217816
"79",-0.166234792486254
"80",-0.167471906409176
"81",-0.188850839602256
"82",-0.159600219487791
"83",-0.167416993203241
"84",-0.164229779224441
"85",-0.147864877436284
"86",-0.168416874086891
"87",-0.168899114778409
"88",-0.182084967100049
"89",-0.210363168546043
"90",-0.193828279585676
"91",-0.229711651523494
"92",-0.275494168316144
"93",-0.348379882502004
"94",-0.504024877416889
"95",-0.372062387987174
"96",-0.51889588117966
"97",-0.372745878716848
"98",-0.439847674661952
"99",-0.460392469897275
"100",-0.527313730272258
"101",-0.409890632618518
"102",-0.514446865556266
"103",-0.474857949678233
"104",-0.464097456415843
"105",-0.464286834490887
"106",-0.383416611242333
"107",-0.455955468743122
"108",-0.464771111106162
"109",-0.435675250078193
"110",-0.407895434716343
"111",-0.347356837675176
"112",-0.391863935498007
"113",-0.446153750300861
"114",-0.408945092999715
"115",-0.44024794576753
"116",-0.342222039483075
"117",-0.40988543365123
"118",-0.387035373134086
"119",-0.407094088784868
"120",-0.39057422936527
"121",-0.378467278680023
"122",-0.373377086072747
"123",-0.335805003070121
"124",-0.286258575286618
"125",-0.342213255460767
"126",-0.302959838561589
"127",-0.243347932467775
"128",-0.220274552189996
"129",-0.193757750918671
"130",-0.204899048891354
"131",-0.181096408897126
"132",-0.207854175923423
"133",-0.209097240458869
"134",-0.141482358418485
"135",-0.146290865669784
"136",-0.147195893656753
"137",-0.117519377294729
"138",-0.120086582398836
"139",-0.122426234502044
"140",-0.129521958220674
"141",-0.135078113456072
"142",-0.114522577875601
"143",-0.108463098636718
"144",-0.127733203151215
"145",-0.137064045105761
"146",-0.0949265286954729
"147",-0.104200795243258
"148",-0.118475137463873
"149",-0.15295662989488
"150",-0.0901862928442607
"151",-0.107844210629311
"152",-0.118468838422929
"153",-0.122396671284926
"154",-0.117969252643526
"155",-0.110500870612388
"156",-0.104672135784967
"157",-0.071948873942635
"158",-0.0834121651893596
"159",-0.0445491195242415
"160",-0.067562394054255
"161",-0.11076416569036
"162",-0.0978786348075969
"163",-0.0978524779484919
"164",-0.0835857531266078
"165",-0.0696475346946329
"166",-0.0856375056892764
"167",-0.0593019191388594
"168",-0.0689362328307185
"169",-0.0635354877389348
"170",-0.0604039654443071
"171",-0.0512181804859025
"172",-0.0465337880443492
"173",-0.0550416772755494
"174",-0.0438529871829682
"175",-0.0811418741837686
"176",-0.15233299298874
"177",-0.0926837401379304
"178",-0.162080808414939
"179",-0.137397229081116
"180",-0.158883752894998
"181",-0.132312517153636
"182",-0.122274538525137
"183",-0.172256988685025
"184",-0.186378643767595
"185",-0.109760289910095
"186",-0.150596067949883
"187",-0.115402390099663
"188",-0.130839913857567
"189",-0.114333595270842
"190",-0.171930573447921
"191",-0.147154267227315
"192",-0.147853319504214
"193",-0.117060335655054
"194",-0.12874398791574
"195",-0.127681776910415
"196",-0.128298886005825
"197",-0.148220566134183
"198",-0.141846099434061
"199",-0.150835537694375
"200",-0.151306556965472
"201",-0.145756558727676
"202",-0.126252625890383
"203",-0.170229210000011
"204",-0.135649700782234
"205",-0.153335255795581
"206",-0.107300635425937
"207",-0.101140719921793
"208",-0.0883661209545566
"209",-0.0856125303261506
"210",-0.0906551714641242
"211",-0.0787075942915486
"212",-0.0747960540067605
"213",-0.0960512964570664
"214",-0.0974249561073016
"215",-0.0577998171776884
"216",-0.0577100829480877
"217",-0.0613524564494849
"218",-0.0944086719219488
"219",-0.0776157376866329
"220",-0.0947717854213426
"221",-0.116870660786961
"222",-0.0623295494086344
"223",-0.067466596955108
"224",-0.0725149141811682
"225",-0.075452094559375
"226",-0.06205872359279
"227",-0.0590461388682452
"228",-0.0923154146789481
"229",-0.0847827770021628
"230",-0.0866467191072111
"231",-0.0874302362254662
"232",-0.111051961566616
"233",-0.113624970336294
"234",-0.109743888074094
"235",-0.109908858385456
"236",-0.0605941314073739
"237",-0.0912621913311259
"238",-0.119234058743802
"239",-0.08960712051843
"240",-0.143492295675248
"241",-0.179568641438264
"242",-0.192984695086622
"243",-0.232702697741121
"244",-0.16122555195744
"245",-0.193672308764149
"246",-0.217798400931871
"247",-0.159406804848521
"248",-0.260469863630747
"249",-0.22581203223009
"250",-0.191486823226845
"251",-0.148506910879856
"252",-0.179464490874174
"253",-0.136151101219865
"254",-0.185166575907247
"255",-0.165259706320448
"256",-0.208407064388666
"257",-0.222582595448657
"258",-0.135182737466098
"259",-0.175611090994907
"260",-0.200075105648584
"261",-0.150158045271364
"262",-0.181252944805749
"263",-0.159915426637828
"264",-0.165988191556684
"265",-0.151193328724943
"266",-0.169888812098119
"267",-0.1499402541398
"268",-0.162390731904102
"269",-0.148058346583846
"270",-0.148953026984962
"271",-0.148063696325155
"272",-0.149004058981842
"273",-0.122558446134583
"274",-0.134779187376202
"275",-0.131171344623941
"276",-0.146893008977725
"277",-0.171683116748765
"278",-0.152226186035924
"279",-0.14296426884355
"280",-0.18166543105147
"281",-0.175496127059622
"282",-0.208814035686736
"283",-0.174253000516754
"284",-0.222911097061672
"285",-0.171077704291237
"286",-0.185360888031936
"287",-0.187629789332398
"288",-0.168158390860792
"289",-0.190824431727965
"290",-0.182070908996347
"291",-0.173138500381127
"292",-0.164395667386958
"293",-0.166817368751762
"294",-0.153858494202581
"295",-0.154971627051326
"296",-0.164962761323419
"297",-0.169613290243733
"298",-0.142173310068143
"299",-0.143159129788846
"300",-0.143878797681214
"301",-0.155809946929261
"302",-0.133222992052595
"303",-0.150353807001921
"304",-0.12319697182689
"305",-0.131155502513304
"306",-0.125919899016049
"307",-0.146780596504153
"308",-0.145896885739233
"309",-0.109157107186306
"310",-0.136179468108719
"311",-0.141666009606245
"312",-0.143073877414674
"313",-0.131440558230176
"314",-0.155918280443354
