"","V1"
"1",-0.0771217842767967
"2",-0.0913014566461939
"3",-0.0625274842574417
"4",-0.0689958222593784
"5",-0.0707575119976354
"6",-0.0726264442830791
"7",-0.0788299271011182
"8",-0.0841077699392996
"9",-0.0909001476667693
"10",-0.152722611497098
"11",-0.111410293860923
"12",-0.131698222497877
"13",-0.103225431591788
"14",-0.118534901379336
"15",-0.101179917547804
"16",-0.0988610676014846
"17",-0.0942857663893984
"18",-0.0950645448217912
"19",-0.106096754823144
"20",-0.0874800539931663
"21",-0.120880097188628
"22",-0.0836294560303824
"23",-0.0646724415631527
"24",-0.100133018160209
"25",-0.0934427952754516
"26",-0.098474245499819
"27",-0.0960401846774795
"28",-0.077874666726405
"29",-0.107696503133704
"30",-0.122961213153916
"31",-0.192894612911514
"32",-0.176667554944305
"33",-0.187240277422745
"34",-0.215659631766104
"35",-0.162008386449648
"36",-0.113954095107249
"37",-0.183383521609524
"38",-0.176533366239863
"39",-0.116950261168796
"40",-0.107758998170426
"41",-0.0725480536570343
"42",-0.113320921678936
"43",-0.168694598171084
"44",-0.127504318962123
"45",-0.166268851580842
"46",-0.196367733524738
"47",-0.167720814014002
"48",-0.184526392366374
"49",-0.154823719024535
"50",-0.134842889641741
"51",-0.180586757886563
"52",-0.10681331661986
"53",-0.137768657653203
"54",-0.181424957002616
"55",-0.170228844852151
"56",-0.204598154606139
"57",-0.210519695205336
"58",-0.165856319027637
"59",-0.22291370408163
"60",-0.187251181954303
"61",-0.179006070703029
"62",-0.207134757473467
"63",-0.228040846909354
"64",-0.206061533343888
"65",-0.184682694004841
"66",-0.159055547020131
"67",-0.138537842650125
"68",-0.17212804213101
"69",-0.130632209530712
"70",-0.111391716930267
"71",-0.114126239915524
"72",-0.130095195203078
"73",-0.105455953132286
"74",-0.152611952372244
"75",-0.121841435257057
"76",-0.165566540572939
"77",-0.145042280271069
"78",-0.160033198557876
"79",-0.171622596626413
"80",-0.171937983186584
"81",-0.183093773337337
"82",-0.155034134003427
"83",-0.131892788564976
"84",-0.139881295248271
"85",-0.137625230131809
"86",-0.134613173062143
"87",-0.154159849150118
"88",-0.139016912736947
"89",-0.153856976849537
"90",-0.173769522941957
"91",-0.236707252678567
"92",-0.209044444899162
"93",-0.347658352568966
"94",-0.475730918460177
"95",-0.55246464226989
"96",-0.61578241829202
"97",-0.429857780716773
"98",-0.448622153798833
"99",-0.55449364503171
"100",-0.591444995220558
"101",-0.374134555233366
"102",-0.458240452680696
"103",-0.43227389183026
"104",-0.350597152686333
"105",-0.36563232079319
"106",-0.367196578143151
"107",-0.372722778505702
"108",-0.37491985334456
"109",-0.394725518679653
"110",-0.370510234027806
"111",-0.348791214452346
"112",-0.386358160177736
"113",-0.37937241548355
"114",-0.390617568195418
"115",-0.422028318238744
"116",-0.296857072329639
"117",-0.431507100353767
"118",-0.343894120134173
"119",-0.278495232084731
"120",-0.302576188371239
"121",-0.2739265464153
"122",-0.287433367007776
"123",-0.31229497724897
"124",-0.234293447572115
"125",-0.305032464285482
"126",-0.246707798834948
"127",-0.202139206958247
"128",-0.199338859879352
"129",-0.196808569707157
"130",-0.20454230730809
"131",-0.173395679418205
"132",-0.19473991810551
"133",-0.214372668612844
"134",-0.157507863045971
"135",-0.133049541837556
"136",-0.148965870591068
"137",-0.0824680577709633
"138",-0.164438404233422
"139",-0.156754040628484
"140",-0.140233635684556
"141",-0.178932176415306
"142",-0.12707649019835
"143",-0.114238615697243
"144",-0.169501865619817
"145",-0.187026143710665
"146",-0.135092091376594
"147",-0.141492268947336
"148",-0.123319995329871
