"","V1"
"1",-0.0535629660798322
"2",-0.0751602242578536
"3",-0.0465059325350358
"4",-0.0534335208459571
"5",-0.0566241708214491
"6",-0.06138954381825
"7",-0.0664624649529458
"8",-0.0766947029147949
"9",-0.0846499944247796
"10",-0.144224448441888
"11",-0.0983542372076742
"12",-0.115898283377616
"13",-0.0881877943878144
"14",-0.101937924460463
"15",-0.0833253695346987
"16",-0.0786295112053954
"17",-0.0736367396542029
"18",-0.069753478244494
"19",-0.0759159396570861
"20",-0.0532292769040742
"21",-0.088844648745929
"22",-0.0570343054257726
"23",-0.023714467564349
"24",-0.0638236730284777
"25",-0.0444224303962644
"26",-0.0552265611428028
"27",-0.0656119291533577
"28",-0.0603340342135651
"29",-0.0932205964588124
"30",-0.108737197292958
"31",-0.182175398058072
"32",-0.162908408067505
"33",-0.164417940610137
"34",-0.140138299589074
"35",-0.136206019710629
"36",-0.062063939894527
"37",-0.175795341706755
"38",-0.134458917784716
"39",-0.0637750765150099
"40",-0.039686805680393
"41",-0.0229337496243459
"42",-0.0816363319312628
"43",-0.134716642156084
"44",-0.0918209052392772
"45",-0.131101390142519
"46",-0.135217255171908
"47",-0.113059794390195
"48",-0.127729416071681
"49",-0.110645498099112
"50",-0.0847959781881107
"51",-0.108695381224117
"52",-0.0534677187255203
"53",-0.112696945292773
"54",-0.141834122220733
"55",-0.134837627195457
"56",-0.176972260294386
"57",-0.155820849295221
"58",-0.15024121664233
"59",-0.222196097276379
"60",-0.188109012755783
"61",-0.172786279062818
"62",-0.199156903014267
"63",-0.199559018442268
"64",-0.161128896568599
"65",-0.135410822032792
"66",-0.143630648962145
"67",-0.109972512803897
"68",-0.128536969371411
"69",-0.0760351688250401
"70",-0.0793931021386313
"71",-0.0831927159247483
"72",-0.115434992858691
"73",-0.109033732725083
"74",-0.150443025839833
"75",-0.119667174571682
"76",-0.154281074648622
"77",-0.142730622944856
"78",-0.149812880784743
"79",-0.140379660773496
"80",-0.155678933855437
"81",-0.144257321321634
"82",-0.095990611012451
"83",-0.0963368013768438
"84",-0.115633008403917
"85",-0.11154435072412
"86",-0.120455516940538
"87",-0.12372615803143
"88",-0.108903289100993
"89",-0.121213737869843
"90",-0.13419979238354
"91",-0.123453527946406
"92",-0.116252734818629
"93",-0.312113025473515
"94",-0.460978617051937
"95",-0.537689538611495
"96",-0.668519801091734
"97",-0.42406642851326
"98",-0.435730889140986
"99",-0.566654189212564
"100",-0.576333911869281
"101",-0.348994420524444
"102",-0.449452809002353
"103",-0.427338228331238
"104",-0.339080616370691
"105",-0.342642335578187
"106",-0.380528178070426
"107",-0.371951609046937
"108",-0.369036762384194
"109",-0.390567083034689
"110",-0.375740867669829
"111",-0.362734703568199
"112",-0.397175086336893
"113",-0.37704811914925
"114",-0.398385377137616
"115",-0.42562346857445
"116",-0.292996004142668
"117",-0.447444191687517
"118",-0.343319808770401
"119",-0.268581155307508
"120",-0.299602140969957
"121",-0.263232890367652
"122",-0.281921766638627
"123",-0.312831974209429
"124",-0.234470278983603
"125",-0.309748871872968
"126",-0.246753212971651
"127",-0.199389151361218
"128",-0.19749319124091
"129",-0.202337873308159
"130",-0.202395776378913
"131",-0.174326478870027
"132",-0.194217084164854
"133",-0.218731728376816
"134",-0.159969944174773
"135",-0.131690600704993
"136",-0.14854253531763
"137",-0.0721541702265564
"138",-0.16857767256275
"139",-0.158427489869268
"140",-0.13682240236804
"141",-0.181097793005446
"142",-0.126237636634588
"143",-0.108890149260182
"144",-0.172786085933939
"145",-0.193885773765091
"146",-0.135829829239945
"147",-0.142718914673712
"148",-0.118556287133411
"149",-0.18745862572234
"150",-0.153118178676609
"151",-0.112870571877718
"152",-0.128156837498529
"153",-0.165492341758046
"154",-0.0804836711337241
"155",-0.127002517680122
"156",-0.10003960490812
"157",-0.0745118530457961
"158",-0.115643056264164
"159",-0.095020037473412
"160",-0.0759806726272058
"161",-0.151641493570159
"162",-0.127420444738488
"163",-0.136929040930672
"164",-0.134059003298129
"165",-0.0951286971257675
"166",-0.0940459994472568
"167",-0.0819457832119957
"168",-0.0708614003751869
"169",-0.072174795452472
"170",-0.0779471908459738
"171",-0.0848169212729276
"172",-0.0568846724194643
"173",-0.0998225400185346
"174",-0.0438003400335367
"175",-0.10409726740206
"176",-0.250395610208316
"177",-0.174288362616604
"178",-0.259804849648833
"179",-0.189026129586285
"180",-0.245996936100534
"181",-0.149743498615532
"182",-0.139566670901074
"183",-0.17540388020468
"184",-0.214474824076933
"185",-0.161101068115639
"186",-0.168847429854875
"187",-0.135466941925475
"188",-0.133763945445265
"189",-0.135777898916114
"190",-0.173010422388707
"191",-0.167966640358778
"192",-0.148990135394574
"193",-0.125691169431962
"194",-0.153471531125026
"195",-0.138599179206281
"196",-0.15572984106032
"197",-0.155363314072354
"198",-0.136699511161179
"199",-0.127771163906455
"200",-0.117947891849448
"201",-0.150841846841391
"202",-0.112206682159959
"203",-0.153775276356593
"204",-0.127181104634686
"205",-0.133562516329009
"206",-0.117109342515544
"207",-0.112946480070139
"208",-0.0855860898896384
"209",-0.0718934620643145
"210",-0.0802553818061973
"211",-0.0958849738142883
"212",-0.0812884239242705
"213",-0.0965137421406441
"214",-0.102534695936503
"215",-0.0865250089110603
"216",-0.0641637695442649
"217",-0.0805739455680072
"218",-0.0946228933288475
"219",-0.107360722988032
"220",-0.0981203781584279
"221",-0.136522760816759
"222",-0.105660199273998
"223",-0.0813628732418317
"224",-0.0986701123686063
"225",-0.0524459671527652
"226",-0.0613363502601562
"227",-0.0634570570895117
"228",-0.0929976655248646
"229",-0.0860979180575678
"230",-0.0866755823014439
"231",-0.0712465206583206
"232",-0.0897019755025103
"233",-0.111502036229595
"234",-0.113982543488597
"235",-0.118224472219125
"236",-0.0790053874729436
"237",-0.0666558568732216
"238",-0.110582873313467
"239",-0.0893646199304582
"240",-0.145174589520783
"241",-0.235570903121704
"242",-0.226053116704494
"243",-0.292510341116277
"244",-0.256149107789048
"245",-0.232383656025253
"246",-0.268240697216178
"247",-0.224223166837725
"248",-0.306722945809791
"249",-0.311781267432622
"250",-0.282079098871383
"251",-0.191332731303812
"252",-0.201759809717894
"253",-0.1435306928214
"254",-0.201414072949693
"255",-0.208502423967013
"256",-0.213926583970494
"257",-0.240498693205957
"258",-0.194857081842371
"259",-0.180191173400941
"260",-0.150477826089623
"261",-0.141911811488862
"262",-0.164256118371564
"263",-0.156016948562745
"264",-0.142516527867141
"265",-0.125987102899031
"266",-0.111973506985846
"267",-0.124310210989833
"268",-0.159566283127152
"269",-0.132833681010275
"270",-0.127194475214704
"271",-0.123278965164026
"272",-0.116609114534756
"273",-0.0871308231394166
"274",-0.0905944983871732
"275",-0.092412407792127
"276",-0.109961342446618
"277",-0.129068147750794
"278",-0.107637505323585
"279",-0.110206769531062
"280",-0.119055099180373
"281",-0.129978165576283
"282",-0.193336622671014
"283",-0.149489337896037
"284",-0.194409626214345
"285",-0.153122558341612
"286",-0.160811395743446
"287",-0.128391788729784
"288",-0.114910945506338
"289",-0.115090701477264
"290",-0.123180624338844
"291",-0.12632522012807
"292",-0.130281604975316
"293",-0.115145789549996
"294",-0.122935238667278
"295",-0.0951573087609478
"296",-0.104393161752214
"297",-0.116605445173672
"298",-0.110935220704586
"299",-0.10215556481742
"300",-0.108754735495636
"301",-0.108013126276022
"302",-0.100772267175872
"303",-0.0972766380353138
"304",-0.0961333132623074
"305",-0.115651078052115
"306",-0.100441254312421
"307",-0.117867505264851
"308",-0.106855652450412
"309",-0.104475469354517
"310",-0.102525293455591
"311",-0.0980961896447724
"312",-0.109093499402599
"313",-0.102861785411575
"314",-0.131543254460337
